"category","product_id","total_revenue"
"costruction_tools_tools","4b7de4748108b5353b211255e867cf6a","3005.72"
"costruction_tools_tools","7ae1a5d0600076501c7ff50c63938b48","2267.28"
"costruction_tools_tools","d19c5ff1a4d4e8b0558536d57cf43cf7","2184.83"
"costruction_tools_tools","e91042dbe3df0b9887d7044968286f57","1930.34"
"costruction_tools_tools","e5f20b4eb944eaae0a13bed3187201d3","1212.56"
"diapers_and_hygiene","3fdb534dccf5bc9ab0406944b913787d","532.76"
"diapers_and_hygiene","8323a7adeb57da21acea7e83563bed90","463.48"
"diapers_and_hygiene","6e7f4ae007302e93c5610894712289bb","239.91"
"diapers_and_hygiene","3cc7ec95300ba6432c64f0b12673bae6","159.61"
"diapers_and_hygiene","53e695484b71a194bf7d89b48700756a","158.97"
"drinks","cd48f265a63e13b762601f5f794c5fca","5896.57"
"drinks","0c9439abe84dc40a64fc164365c4d064","3611.44"
"drinks","d99526b1e4fa5f57b8bde34a7337b5ee","1475.39"
"drinks","ad2037645597db38527fe3afbe226af2","1403.41"
"drinks","39377e2d331b8af5a19bc565215e3a8c","1287.68"
"dvds_blu_ray","47d52bb24ef8a3aa09724f00604be3ba","2873.81"
"dvds_blu_ray","e96dedd143090ade72c86bf486be7d36","719.65"
"dvds_blu_ray","8ac47b3ab13c68f49f10dde899674149","503.56"
"dvds_blu_ray","99de5bb76bad02d0f39306af0436bcfd","427.16"
"dvds_blu_ray","d55d2479e56093f23ebcf313ceb3bcfe","221.42"
"electronics","93c902b021a9e594f658ab1b0351602a","8249.81"
"electronics","0abc19e41fdc9d6894b8cae651619253","7803.02"
"electronics","31b8e7c2a22f3dba5183cc110bdd72f7","5078.75"
"electronics","6ab6d9589ae19abcee458918d4779fae","3731.46"
"electronics","802d4aa654f6b24ca4d5bd2c61c0b079","3440.79"
"fashio_female_clothing","63cf4d771cba1d380af927afe5895d4b","341.40"
"fashio_female_clothing","6e02baf23db1455640241542c78be139","314.80"
"fashio_female_clothing","1f05dcc70c1a19407641eccea8ef3bdc","297.15"
"fashio_female_clothing","bfa393df5b4494bea7158660999a921b","256.78"
"fashio_female_clothing","0906585a53ae0d9e9d848e83b8f2ea88","216.05"
"fashion_bags_accessories","d017a2151d543a9885604dc62a3d9dcc","8618.47"
"fashion_bags_accessories","ccadfeab525a9eb1569983b66e5075c4","3287.98"
"fashion_bags_accessories","00faa46f36261af8bbf3a4d37fa4841b","3014.56"
"fashion_bags_accessories","89e4362d74afa10ac57f8d67210132a6","2633.56"
"fashion_bags_accessories","e24f73b7631ee3fbb2ab700a9acaa258","2529.50"
"fashion_childrens_clothes","8cfc3506cedc0626364457d254429118","204.54"
"fashion_childrens_clothes","57bdf3098169cccdb62221bd3e089cbd","150.65"
"fashion_childrens_clothes","0ab3ab3b2869073aa9afe795fe9151aa","124.52"
"fashion_childrens_clothes","28ac6af4008a402e5039f3e042a36e13","118.96"
"fashion_childrens_clothes","2b18330ce86ae5c606250b75b499f370","66.69"
"fashion_male_clothing","e336c656869480e20d04ca9389b12167","972.80"
"fashion_male_clothing","22656f41604127818c5984157e52bda8","786.70"
"fashion_male_clothing","e12569a1ad365c9f77fb1ae6d5de26e8","362.25"
"fashion_male_clothing","660fc6f47144a19180d7309e37155f1e","344.23"
"fashion_male_clothing","c7296f9449f86afc5688984ed1c170a2","329.87"
"fashion_shoes","002159fe700ed3521f46cfcf6e941c76","1850.61"
"fashion_shoes","a2c75a23c2f838881dd4275c0cec519f","1686.33"
